Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Moviment,Nacionalitat,Nombre
2017,1,Ciutat Vella,1,el Raval,alta,Espanyols,1320
2017,1,Ciutat Vella,2,el Barri Gòtic,alta,Espanyols,376
2017,1,Ciutat Vella,3,la Barceloneta,alta,Espanyols,461
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",alta,Espanyols,608
2017,2,Eixample,5,el Fort Pienc,alta,Espanyols,883
2017,2,Eixample,6,la Sagrada Família,alta,Espanyols,1404
2017,2,Eixample,7,la Dreta de l'Eixample,alta,Espanyols,1353
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,alta,Espanyols,1170
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,alta,Espanyols,1599
2017,2,Eixample,10,Sant Antoni,alta,Espanyols,997
2017,3,Sants-Montjuïc,11,el Poble Sec,alta,Espanyols,979
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,alta,Espanyols,48
2017,3,Sants-Montjuïc,13,la Marina de Port,alta,Espanyols,830
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,alta,Espanyols,282
2017,3,Sants-Montjuïc,15,Hostafrancs,alta,Espanyols,486
2017,3,Sants-Montjuïc,16,la Bordeta,alta,Espanyols,732
2017,3,Sants-Montjuïc,17,Sants - Badal,alta,Espanyols,646
2017,3,Sants-Montjuïc,18,Sants,alta,Espanyols,1236
2017,4,Les Corts,19,les Corts,alta,Espanyols,1427
2017,4,Les Corts,20,la Maternitat i Sant Ramon,alta,Espanyols,635
2017,4,Les Corts,21,Pedralbes,alta,Espanyols,350
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",alta,Espanyols,174
2017,5,Sarrià-Sant Gervasi,23,Sarrià,alta,Espanyols,1008
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,alta,Espanyols,746
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,alta,Espanyols,1013
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,alta,Espanyols,1718
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,alta,Espanyols,1134
2017,6,Gràcia,28,Vallcarca i els Penitents,alta,Espanyols,615
2017,6,Gràcia,29,el Coll,alta,Espanyols,245
2017,6,Gràcia,30,la Salut,alta,Espanyols,441
2017,6,Gràcia,31,la Vila de Gràcia,alta,Espanyols,1570
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,alta,Espanyols,1052
2017,7,Horta-Guinardó,33,el Baix Guinardó,alta,Espanyols,947
2017,7,Horta-Guinardó,34,Can Baró,alta,Espanyols,364
2017,7,Horta-Guinardó,35,el Guinardó,alta,Espanyols,1284
2017,7,Horta-Guinardó,36,la Font d'en Fargues,alta,Espanyols,357
2017,7,Horta-Guinardó,37,el Carmel,alta,Espanyols,1098
2017,7,Horta-Guinardó,38,la Teixonera,alta,Espanyols,411
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,alta,Espanyols,291
2017,7,Horta-Guinardó,40,Montbau,alta,Espanyols,201
2017,7,Horta-Guinardó,41,la Vall d'Hebron,alta,Espanyols,148
2017,7,Horta-Guinardó,42,la Clota,alta,Espanyols,23
2017,7,Horta-Guinardó,43,Horta,alta,Espanyols,918
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,alta,Espanyols,764
2017,8,Nou Barris,45,Porta,alta,Espanyols,880
2017,8,Nou Barris,46,el Turó de la Peira,alta,Espanyols,507
2017,8,Nou Barris,47,Can Peguera,alta,Espanyols,67
2017,8,Nou Barris,48,la Guineueta,alta,Espanyols,533
2017,8,Nou Barris,49,Canyelles,alta,Espanyols,199
2017,8,Nou Barris,50,les Roquetes,alta,Espanyols,506
2017,8,Nou Barris,51,Verdun,alta,Espanyols,436
2017,8,Nou Barris,52,la Prosperitat,alta,Espanyols,835
2017,8,Nou Barris,53,la Trinitat Nova,alta,Espanyols,355
2017,8,Nou Barris,54,Torre Baró,alta,Espanyols,118
2017,8,Nou Barris,55,Ciutat Meridiana,alta,Espanyols,315
2017,8,Nou Barris,56,Vallbona,alta,Espanyols,76
2017,9,Sant Andreu,57,la Trinitat Vella,alta,Espanyols,319
2017,9,Sant Andreu,58,Baró de Viver,alta,Espanyols,84
2017,9,Sant Andreu,59,el Bon Pastor,alta,Espanyols,707
2017,9,Sant Andreu,60,Sant Andreu,alta,Espanyols,2139
2017,9,Sant Andreu,61,la Sagrera,alta,Espanyols,890
2017,9,Sant Andreu,62,el Congrés i els Indians,alta,Espanyols,522
2017,9,Sant Andreu,63,Navas,alta,Espanyols,656
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,alta,Espanyols,1160
2017,10,Sant Martí,65,el Clot,alta,Espanyols,690
