Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Moviment,Nacionalitat,Nombre
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,alta,Estrangers,14
2015,3,Sants-Montjuïc,13,la Marina de Port,alta,Estrangers,621
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,alta,Estrangers,217
2015,3,Sants-Montjuïc,15,Hostafrancs,alta,Estrangers,525
2015,3,Sants-Montjuïc,16,la Bordeta,alta,Estrangers,359
2015,3,Sants-Montjuïc,17,Sants - Badal,alta,Estrangers,594
2015,3,Sants-Montjuïc,18,Sants,alta,Estrangers,982
2015,4,Les Corts,19,les Corts,alta,Estrangers,534
2015,4,Les Corts,20,la Maternitat i Sant Ramon,alta,Estrangers,269
2015,4,Les Corts,21,Pedralbes,alta,Estrangers,128
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",alta,Estrangers,48
2015,5,Sarrià-Sant Gervasi,23,Sarrià,alta,Estrangers,245
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,alta,Estrangers,141
2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,alta,Estrangers,321
2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,alta,Estrangers,485
2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,alta,Estrangers,449
2015,6,Gràcia,28,Vallcarca i els Penitents,alta,Estrangers,270
2015,6,Gràcia,29,el Coll,alta,Estrangers,145
2015,6,Gràcia,30,la Salut,alta,Estrangers,210
2015,6,Gràcia,31,la Vila de Gràcia,alta,Estrangers,1287
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,alta,Estrangers,689
2015,7,Horta-Guinardó,33,el Baix Guinardó,alta,Estrangers,532
2015,7,Horta-Guinardó,34,Can Baró,alta,Estrangers,210
2015,7,Horta-Guinardó,35,el Guinardó,alta,Estrangers,791
2015,7,Horta-Guinardó,36,la Font d'en Fargues,alta,Estrangers,62
2015,7,Horta-Guinardó,37,el Carmel,alta,Estrangers,758
2015,7,Horta-Guinardó,38,la Teixonera,alta,Estrangers,210
2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,alta,Estrangers,137
2015,7,Horta-Guinardó,40,Montbau,alta,Estrangers,84
2015,7,Horta-Guinardó,41,la Vall d'Hebron,alta,Estrangers,61
2015,7,Horta-Guinardó,42,la Clota,alta,Estrangers,27
2015,7,Horta-Guinardó,43,Horta,alta,Estrangers,374
2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,alta,Estrangers,547
2015,8,Nou Barris,45,Porta,alta,Estrangers,587
2015,8,Nou Barris,46,el Turó de la Peira,alta,Estrangers,586
2015,8,Nou Barris,47,Can Peguera,alta,Estrangers,24
2015,8,Nou Barris,48,la Guineueta,alta,Estrangers,191
2015,8,Nou Barris,49,Canyelles,alta,Estrangers,37
2015,8,Nou Barris,50,les Roquetes,alta,Estrangers,618
2015,8,Nou Barris,51,Verdun,alta,Estrangers,421
2015,8,Nou Barris,52,la Prosperitat,alta,Estrangers,735
2015,8,Nou Barris,53,la Trinitat Nova,alta,Estrangers,261
2015,8,Nou Barris,54,Torre Baró,alta,Estrangers,62
2015,8,Nou Barris,55,Ciutat Meridiana,alta,Estrangers,526
2015,8,Nou Barris,56,Vallbona,alta,Estrangers,19
2015,9,Sant Andreu,57,la Trinitat Vella,alta,Estrangers,556
2015,9,Sant Andreu,58,Baró de Viver,alta,Estrangers,35
2015,9,Sant Andreu,59,el Bon Pastor,alta,Estrangers,258
2015,9,Sant Andreu,60,Sant Andreu,alta,Estrangers,580
2015,9,Sant Andreu,61,la Sagrera,alta,Estrangers,522
2015,9,Sant Andreu,62,el Congrés i els Indians,alta,Estrangers,300
2015,9,Sant Andreu,63,Navas,alta,Estrangers,511
2015,10,Sant Martí,64,el Camp de l'Arpa del Clot,alta,Estrangers,928
2015,10,Sant Martí,65,el Clot,alta,Estrangers,551
2015,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,alta,Estrangers,329
2015,10,Sant Martí,67,la Vila Olímpica del Poblenou,alta,Estrangers,133
2015,10,Sant Martí,68,el Poblenou,alta,Estrangers,819
2015,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,alta,Estrangers,214
2015,10,Sant Martí,70,el Besòs i el Maresme,alta,Estrangers,1125
2015,10,Sant Martí,71,Provençals del Poblenou,alta,Estrangers,389
2015,10,Sant Martí,72,Sant Martí de Provençals,alta,Estrangers,427
2015,10,Sant Martí,73,la Verneda i la Pau,alta,Estrangers,449
2015,99,No consta,99,No consta,alta,Estrangers,2
2015,1,Ciutat Vella,1,el Raval,baixa,Espanyols,1868
2015,1,Ciutat Vella,2,el Barri Gòtic,baixa,Espanyols,604
2015,1,Ciutat Vella,3,la Barceloneta,baixa,Espanyols,628
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",baixa,Espanyols,885
2015,2,Eixample,5,el Fort Pienc,baixa,Espanyols,1006
2015,2,Eixample,6,la Sagrada Família,baixa,Espanyols,1919
2015,2,Eixample,7,la Dreta de l'Eixample,baixa,Espanyols,1600
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,baixa,Espanyols,1551
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,baixa,Espanyols,1969
2015,2,Eixample,10,Sant Antoni,baixa,Espanyols,1480
2015,3,Sants-Montjuïc,11,el Poble Sec,baixa,Espanyols,1512
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,baixa,Espanyols,27
2015,3,Sants-Montjuïc,13,la Marina de Port,baixa,Espanyols,886
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,baixa,Espanyols,279
2015,3,Sants-Montjuïc,15,Hostafrancs,baixa,Espanyols,646
2015,3,Sants-Montjuïc,16,la Bordeta,baixa,Espanyols,550
2015,3,Sants-Montjuïc,17,Sants - Badal,baixa,Espanyols,761
2015,3,Sants-Montjuïc,18,Sants,baixa,Espanyols,1528
2015,4,Les Corts,19,les Corts,baixa,Espanyols,1643
2015,4,Les Corts,20,la Maternitat i Sant Ramon,baixa,Espanyols,749
2015,4,Les Corts,21,Pedralbes,baixa,Espanyols,423
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",baixa,Espanyols,159
2015,5,Sarrià-Sant Gervasi,23,Sarrià,baixa,Espanyols,965
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,baixa,Espanyols,585
2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,baixa,Espanyols,1069
