Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Moviment,Nacionalitat,Nombre
2016,1,Ciutat Vella,1,el Raval,alta,Espanyols,1301
2016,1,Ciutat Vella,2,el Barri Gòtic,alta,Espanyols,396
2016,1,Ciutat Vella,3,la Barceloneta,alta,Espanyols,423
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",alta,Espanyols,690
2016,2,Eixample,5,el Fort Pienc,alta,Espanyols,773
2016,2,Eixample,6,la Sagrada Família,alta,Espanyols,1358
2016,2,Eixample,7,la Dreta de l'Eixample,alta,Espanyols,1321
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,alta,Espanyols,1116
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,alta,Espanyols,1625
2016,2,Eixample,10,Sant Antoni,alta,Espanyols,1001
2016,3,Sants-Montjuïc,11,el Poble Sec,alta,Espanyols,1061
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,alta,Espanyols,59
2016,3,Sants-Montjuïc,13,la Marina de Port,alta,Espanyols,895
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,alta,Espanyols,287
2016,3,Sants-Montjuïc,15,Hostafrancs,alta,Espanyols,431
2016,3,Sants-Montjuïc,16,la Bordeta,alta,Espanyols,406
2016,3,Sants-Montjuïc,17,Sants - Badal,alta,Espanyols,609
2016,3,Sants-Montjuïc,18,Sants,alta,Espanyols,1252
2016,4,Les Corts,19,les Corts,alta,Espanyols,1316
2016,4,Les Corts,20,la Maternitat i Sant Ramon,alta,Espanyols,532
2016,4,Les Corts,21,Pedralbes,alta,Espanyols,338
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",alta,Espanyols,195
2016,5,Sarrià-Sant Gervasi,23,Sarrià,alta,Espanyols,919
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,alta,Espanyols,713
2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,alta,Espanyols,976
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,alta,Espanyols,1596
2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,alta,Espanyols,1144
2016,6,Gràcia,28,Vallcarca i els Penitents,alta,Espanyols,596
2016,6,Gràcia,29,el Coll,alta,Espanyols,251
2016,6,Gràcia,30,la Salut,alta,Espanyols,433
2016,6,Gràcia,31,la Vila de Gràcia,alta,Espanyols,1469
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,alta,Espanyols,1048
2016,7,Horta-Guinardó,33,el Baix Guinardó,alta,Espanyols,958
2016,7,Horta-Guinardó,34,Can Baró,alta,Espanyols,272
2016,7,Horta-Guinardó,35,el Guinardó,alta,Espanyols,1297
2016,7,Horta-Guinardó,36,la Font d'en Fargues,alta,Espanyols,319
2016,7,Horta-Guinardó,37,el Carmel,alta,Espanyols,987
2016,7,Horta-Guinardó,38,la Teixonera,alta,Espanyols,542
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,alta,Espanyols,211
2016,7,Horta-Guinardó,40,Montbau,alta,Espanyols,200
2016,7,Horta-Guinardó,41,la Vall d'Hebron,alta,Espanyols,196
2016,7,Horta-Guinardó,42,la Clota,alta,Espanyols,48
2016,7,Horta-Guinardó,43,Horta,alta,Espanyols,927
2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,alta,Espanyols,810
2016,8,Nou Barris,45,Porta,alta,Espanyols,890
2016,8,Nou Barris,46,el Turó de la Peira,alta,Espanyols,530
2016,8,Nou Barris,47,Can Peguera,alta,Espanyols,72
