"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Moviment","Nacionalitat","Nombre"
2018,2,"Eixample",7,"la Dreta de l'Eixample","Alta","Estrangers",1024
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Alta","Estrangers",1015
2018,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Alta","Estrangers",1396
2018,2,"Eixample",10,"Sant Antoni","Alta","Estrangers",1037
2018,3,"Sants-Montjuïc",11,"el Poble Sec","Alta","Estrangers",1778
2018,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Alta","Estrangers",16
2018,3,"Sants-Montjuïc",13,"la Marina de Port","Alta","Estrangers",559
2018,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Alta","Estrangers",259
2018,3,"Sants-Montjuïc",15,"Hostafrancs","Alta","Estrangers",518
2018,3,"Sants-Montjuïc",16,"la Bordeta","Alta","Estrangers",357
2018,3,"Sants-Montjuïc",17,"Sants - Badal","Alta","Estrangers",529
2018,3,"Sants-Montjuïc",18,"Sants","Alta","Estrangers",1020
2018,4,"Les Corts",19,"les Corts","Alta","Estrangers",626
2018,4,"Les Corts",20,"la Maternitat i Sant Ramon","Alta","Estrangers",336
2018,4,"Les Corts",21,"Pedralbes","Alta","Estrangers",146
2018,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Alta","Estrangers",74
2018,5,"Sarrià-Sant Gervasi",23,"Sarrià","Alta","Estrangers",332
2018,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Alta","Estrangers",169
2018,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Alta","Estrangers",369
2018,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Alta","Estrangers",584
2018,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Alta","Estrangers",460
2018,6,"Gràcia",28,"Vallcarca i els Penitents","Alta","Estrangers",265
2018,6,"Gràcia",29,"el Coll","Alta","Estrangers",161
2018,6,"Gràcia",30,"la Salut","Alta","Estrangers",263
2018,6,"Gràcia",31,"la Vila de Gràcia","Alta","Estrangers",1183
2018,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Alta","Estrangers",731
2018,7,"Horta-Guinardó",33,"el Baix Guinardó","Alta","Estrangers",487
2018,7,"Horta-Guinardó",34,"Can Baró","Alta","Estrangers",225
2018,7,"Horta-Guinardó",35,"el Guinardó","Alta","Estrangers",748
2018,7,"Horta-Guinardó",36,"la Font d'en Fargues","Alta","Estrangers",81
2018,7,"Horta-Guinardó",37,"el Carmel","Alta","Estrangers",765
2018,7,"Horta-Guinardó",38,"la Teixonera","Alta","Estrangers",251
2018,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Alta","Estrangers",161
2018,7,"Horta-Guinardó",40,"Montbau","Alta","Estrangers",100
2018,7,"Horta-Guinardó",41,"la Vall d'Hebron","Alta","Estrangers",56
2018,7,"Horta-Guinardó",42,"la Clota","Alta","Estrangers",11
2018,7,"Horta-Guinardó",43,"Horta","Alta","Estrangers",522
2018,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Alta","Estrangers",553
2018,8,"Nou Barris",45,"Porta","Alta","Estrangers",720
2018,8,"Nou Barris",46,"el Turó de la Peira","Alta","Estrangers",510
2018,8,"Nou Barris",47,"Can Peguera","Alta","Estrangers",30
2018,8,"Nou Barris",48,"la Guineueta","Alta","Estrangers",274
2018,8,"Nou Barris",49,"Canyelles","Alta","Estrangers",45
2018,8,"Nou Barris",50,"les Roquetes","Alta","Estrangers",543
2018,8,"Nou Barris",51,"Verdun","Alta","Estrangers",430
2018,8,"Nou Barris",52,"la Prosperitat","Alta","Estrangers",542
2018,8,"Nou Barris",53,"la Trinitat Nova","Alta","Estrangers",234
2018,8,"Nou Barris",54,"Torre Baró","Alta","Estrangers",62
