Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Renda
2011,8,Nou Barris,44,Vilapicina i la Torre Llobeta,14821.5
2011,8,Nou Barris,53,la Trinitat Nova,8261.5
2011,8,Nou Barris,54,Torre Baró,11172.5
2011,8,Nou Barris,55,Ciutat Meridiana,8179.499999999999
2011,10,Sant Martí,70,el Besòs i el Maresme,10844.5
2011,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,25071.499999999996
2011,10,Sant Martí,68,el Poblenou,18286.0
2011,10,Sant Martí,67,la Vila Olímpica del Poblenou,29930.0
2011,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,18634.5
2011,10,Sant Martí,65,el Clot,16400.0
2011,10,Sant Martí,64,el Camp de l'Arpa del Clot,16871.5
2011,9,Sant Andreu,63,Navas,15334.0
2011,9,Sant Andreu,62,el Congrés i els Indians,14944.500000000002
2011,9,Sant Andreu,61,la Sagrera,15723.5
2011,9,Sant Andreu,60,Sant Andreu,15990.0
2011,9,Sant Andreu,59,el Bon Pastor,12915.0
2011,9,Sant Andreu,58,Baró de Viver,10414.0
2011,9,Sant Andreu,57,la Trinitat Vella,10127.0
2011,8,Nou Barris,56,Vallbona,10906.0
2011,7,Horta-Guinardó,37,el Carmel,12792.0
2011,10,Sant Martí,71,Provençals del Poblenou,17281.5
2011,7,Horta-Guinardó,36,la Font d'en Fargues,19885.0
2011,7,Horta-Guinardó,35,el Guinardó,17589.0
2011,3,Sants-Montjuïc,15,Hostafrancs,15600.499999999998
2011,3,Sants-Montjuïc,14,la Font de la Guatlla,15293.0
2011,3,Sants-Montjuïc,13,la Marina de Port,14514.0
2011,3,Sants-Montjuïc,12,la Marina del Prat Vermell,10865.0
2011,3,Sants-Montjuïc,11,el Poble Sec,14965.0
2011,2,Eixample,10,Sant Antoni,19659.5
2011,3,Sants-Montjuïc,16,la Bordeta,14575.5
2011,2,Eixample,9,la Nova Esquerra de l'Eixample,22078.5
2011,2,Eixample,7,la Dreta de l'Eixample,31098.499999999996
2011,2,Eixample,6,la Sagrada Família,19700.5
2011,2,Eixample,5,el Fort Pienc,20069.500000000004
2011,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17650.5
2011,1,Ciutat Vella,3,la Barceloneta,14985.5
2011,1,Ciutat Vella,2,el Barri Gòtic,20254.0
2011,2,Eixample,8,l'Antiga Esquerra de l'Eixample,24866.5
2011,3,Sants-Montjuïc,17,Sants - Badal,15805.499999999998
2011,3,Sants-Montjuïc,18,Sants,17712.000000000004
2011,4,Les Corts,19,les Corts,26014.500000000004
2011,7,Horta-Guinardó,34,Can Baró,15252.000000000002
2011,7,Horta-Guinardó,33,el Baix Guinardó,18429.5
2011,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,20131.0
2011,6,Gràcia,31,la Vila de Gràcia,21812.0
2011,6,Gràcia,30,la Salut,22508.999999999996
2011,6,Gràcia,29,el Coll,19946.5
2011,6,Gràcia,28,Vallcarca i els Penitents,23452.000000000004
2011,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,28289.999999999996
2011,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,36428.5
2011,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,39093.49999999999
2011,5,Sarrià-Sant Gervasi,24,les Tres Torres,44362.0
2011,5,Sarrià-Sant Gervasi,23,Sarrià,37043.5
2011,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",34009.5
2011,4,Les Corts,21,Pedralbes,50430.0
2011,4,Les Corts,20,la Maternitat i Sant Ramon,22672.999999999996
2011,10,Sant Martí,72,Sant Martí de Provençals,13325.0
2012,10,Sant Martí,72,Sant Martí de Provençals,12065.0
2012,1,Ciutat Vella,1,el Raval,12426.0
2012,8,Nou Barris,53,la Trinitat Nova,7391.0
2012,8,Nou Barris,52,la Prosperitat,11400.0
2012,8,Nou Barris,51,Verdun,9405.0
2012,8,Nou Barris,50,les Roquetes,10032.0
2012,8,Nou Barris,49,Canyelles,11609.0
2012,8,Nou Barris,48,la Guineueta,10659.000000000002
2012,8,Nou Barris,54,Torre Baró,9956.0
2012,8,Nou Barris,47,Can Peguera,10089.0
2012,8,Nou Barris,45,Porta,11495.0
2012,8,Nou Barris,44,Vilapicina i la Torre Llobeta,13623.000000000002
2012,7,Horta-Guinardó,43,Horta,15200.0
2012,7,Horta-Guinardó,42,la Clota,14915.0
2012,7,Horta-Guinardó,41,la Vall d'Hebron,17157.0
2012,7,Horta-Guinardó,40,Montbau,14516.0
2012,8,Nou Barris,46,el Turó de la Peira,10715.999999999998
2012,7,Horta-Guinardó,39,Sant Genís dels Agudells,15123.999999999998
2012,8,Nou Barris,55,Ciutat Meridiana,7125.0
2012,9,Sant Andreu,57,la Trinitat Vella,9918.0
2012,10,Sant Martí,71,Provençals del Poblenou,15276.000000000002
2012,10,Sant Martí,70,el Besòs i el Maresme,9956.0
2012,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,24206.0
2012,10,Sant Martí,68,el Poblenou,17062.0
