,Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Poblacio,Domicilis,Ocupacio_mitjana_(persones_ per_domicili)
49,2016,8,Nou Barris,50,les Roquetes,15428,5831,2.65
48,2016,8,Nou Barris,49,Canyelles,6925,2801,2.47
47,2016,8,Nou Barris,48,la Guineueta,15050,6160,2.44
46,2016,8,Nou Barris,47,Can Peguera,2216,913,2.43
45,2016,8,Nou Barris,46,el Turó de la Peira,15373,6164,2.49
51,2016,8,Nou Barris,52,la Prosperitat,26166,10692,2.45
44,2016,8,Nou Barris,45,Porta,24567,10111,2.43
42,2016,7,Horta-Guinardó,43,Horta,26597,10573,2.52
41,2016,7,Horta-Guinardó,42,la Clota,590,253,2.33
40,2016,7,Horta-Guinardó,41,la Vall d'Hebron,5687,2312,2.46
39,2016,7,Horta-Guinardó,40,Montbau,5101,2112,2.42
38,2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,6828,2826,2.42
37,2016,7,Horta-Guinardó,38,la Teixonera,11281,4673,2.41
43,2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,25522,10493,2.43
36,2016,7,Horta-Guinardó,37,el Carmel,31377,12706,2.47
52,2016,8,Nou Barris,53,la Trinitat Nova,7259,2876,2.52
54,2016,8,Nou Barris,55,Ciutat Meridiana,10055,3544,2.84
68,2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,13455,5427,2.48
67,2016,10,Sant Martí,68,el Poblenou,33621,13562,2.48
66,2016,10,Sant Martí,67,la Vila Olímpica del Poblenou,9346,3520,2.66
65,2016,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,14861,6037,2.46
64,2016,10,Sant Martí,65,el Clot,26928,10767,2.5
63,2016,10,Sant Martí,64,el Camp de l'Arpa del Clot,38252,16270,2.35
53,2016,8,Nou Barris,54,Torre Baró,2795,931,3.0
62,2016,9,Sant Andreu,63,Navas,22097,8964,2.47
60,2016,9,Sant Andreu,61,la Sagrera,28710,11696,2.45
59,2016,9,Sant Andreu,60,Sant Andreu,56695,23363,2.43
58,2016,9,Sant Andreu,59,el Bon Pastor,12594,4460,2.82
57,2016,9,Sant Andreu,58,Baró de Viver,2511,963,2.61
56,2016,9,Sant Andreu,57,la Trinitat Vella,10048,3473,2.89
55,2016,8,Nou Barris,56,Vallbona,1354,470,2.88
61,2016,9,Sant Andreu,62,el Congrés i els Indians,14051,5917,2.37
69,2016,10,Sant Martí,70,el Besòs i el Maresme,22609,8267,2.73
35,2016,7,Horta-Guinardó,36,la Font d'en Fargues,9402,3689,2.55
33,2016,7,Horta-Guinardó,34,Can Baró,8969,3779,2.37
14,2016,3,Sants-Montjuïc,15,Hostafrancs,15915,6611,2.41
13,2016,3,Sants-Montjuïc,14,la Font de la Guatlla,10316,4266,2.42
12,2016,3,Sants-Montjuïc,13,la Marina de Port,30397,11780,2.58
11,2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1146,442,2.59
10,2016,3,Sants-Montjuïc,11,el Poble Sec,40104,15983,2.51
9,2016,2,Eixample,10,Sant Antoni,38182,16383,2.33
